,TRADE_CODE,issue_date,stopped_date
571,RU000A103EZ7,2021-07-23,
572,SBER,2007-07-20,
573,SBERP,2007-07-20,
574,RU000A103661,2021-06-21,
575,RU000A1038U8,2021-06-21,
576,RU000A103G42,2021-08-06,
577,RU000A103G59,2021-08-06,
578,RU000A103H66,2021-08-06,
579,RU000A103YV4,2023-05-31,
580,RU000A10BL99,2025-05-23,
581,RU000A10BZH8,2025-07-11,
582,RU000A10C8S6,2025-08-07,
583,RU000A10CBA2,2025-09-29,
584,RU000A10DS74,2025-12-16,
585,RU000A10EF52,2026-03-13,
586,RU000A10EJ90,2026-03-13,
587,CHMF,2005-06-02,
588,SELG,2011-09-22,
589,SVCB,2023-12-15,
590,RU000A0ZYX28,2018-03-07,
591,RU000A0ZYWZ2,2018-03-07,
592,RU000A101MB5,2020-04-29,
593,RU000A109VL8,2024-10-25,
594,RU000A100DZ5,2019-05-30,
595,RU000A103760,2021-06-07,
596,RU000A0ZYJR6,2017-12-07,
597,TGKA,2007-03-26,
598,RU000A105NB4,2022-12-22,
599,TRNFP,2008-01-14,
600,RU000A1010B7,2019-11-08,
601,HYDR,2008-05-22,
602,FEES,2008-07-16,
603,RU000A0JX090,2016-11-29,
604,RU000A1028T1,2020-10-20,
605,RU000A1036S6,2021-06-09,
606,RU000A101CL5,2020-01-30,
607,FIXR,2025-07-09,
608,PHOR,2011-07-18,
609,RU000A106G56,2023-07-03,
610,RU000A10A4S7,2024-11-22,
611,RU000A10AXK9,2025-02-18,
612,RU000A108LP2,2024-06-06,
613,RU000A10B7J8,2025-04-01,
614,RU000A109K40,2024-09-18,
615,RU000A10CZ68,2025-10-02,
616,RU000A10EER6,2026-03-03,
617,RU000A10ER66,2026-04-02,
618,ELFV,2014-12-01,
619,SFIN,2015-12-04,
620,UPRO,2007-05-24,
621,ASTR,2023-10-13,
622,SGZH,2021-04-28,
623,RNFT,2016-11-18,
624,MSNG,2005-01-11,
625,RU000A101RV2,2020-09-23,
626,RU000A101RW0,2021-06-28,
627,RU000A101S16,2021-06-28,
628,RU000A101S08,2021-06-28,
629,RU000A101RT6,2021-06-28,
630,RU000A101RZ3,2020-09-23,
631,RU000A0JWTV5,2016-09-23,
632,RU000A102VR0,2021-03-22,
633,RU000A0JX199,2016-12-12,
634,RU000A0JXE06,2017-02-09,
635,RU000A0JXPG2,2017-04-25,
636,RU000A10A3Z4,2024-11-20,
637,RU000A0ZYAP9,2017-09-20,
638,RU000A10A5H7,2024-11-27,
639,RU000A0ZYNY4,2018-01-19,
640,RU000A10AU73,2025-02-10,
641,RU000A0JWST1,2016-09-13,
642,RU000A0ZYR91,2018-02-06,
643,RU000A10BQB0,2025-06-03,
644,RU000A0ZZ1J8,2018-04-06,
645,RU000A10C6F7,2025-07-25,
646,RU000A0ZZ984,2018-06-08,
647,RU000A10CR50,2025-09-15,
648,RU000A0ZZAL5,2018-06-22,
649,RU000A10DP51,2025-12-02,
650,RU000A0ZZV11,2018-11-23,
651,RU000A10EMU3,2026-03-23,
652,RU000A1003A4,2019-02-08,
