,Год,Дивиденд (руб.),Изм. к пред. году,page_url,ticker
1,2021,73.0,+143.33%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
2,2020,30.0,-10.1%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
3,2019,33.37,,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
4,2018,0.0,,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
5,2017,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
6,2016,20.0,-25.93%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
7,2015,27.0,-40%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
8,2014,45.0,+226.09%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
9,2013,13.8,-61.45%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
10,2012,35.8,+817.95%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
11,2011,3.9,+69.57%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
12,2010,2.3,,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
0,след 12m. (прогноз),28.32,+37.49%,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
1,2024,20.6,-47.74%,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
2,2023,39.42,,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
3,2022,0.0,,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
4,2021,0.0,,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
5,2020,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
6,2019,14.5,-15.94%,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
7,2018,17.25,+32.69%,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
8,2017,13.0,,https://www.dohod.ru/ik/analytics/dividend/sfin,SFIN
0,след 12m. (прогноз),0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
1,2021,0.3172,+42.89%,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
2,2020,0.222,0%,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
3,2019,0.222,0%,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
4,2018,0.222,0%,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
5,2017,0.222,-29.1%,https://www.dohod.ru/ik/analytics/dividend/upro,UPRO
